Designator,Mid X,Mid Y,Rotation,Layer
R70,47.4639,78.4741,0.0,top
R8,43.5139,64.5241,0.0,top
R9,40.5639,65.2741,270.0,top
REF1B,87.6639,93.3741,0.0,bottom
REF1T,1.8639,1.8741,0.0,top
REF2B,2.6639,93.3741,0.0,bottom
REF2T,2.6639,93.3741,0.0,top
REF3B,1.8639,1.8741,0.0,bottom
REF3T,87.6639,93.3741,0.0,top
SW1,51.6639,23.4741,270.0,top
SW2,43.4639,53.9741,180.0,top
U1,19.2539,60.703911,0.0,top
U10,18.2639,9.3841,0.0,top
U11,28.9014,41.0241,0.0,top
U12,31.8439,75.9241,90.0,top
U13,26.8139,87.7641,90.0,top
U14,33.1639,49.0741,270.0,top
U15,74.9139,85.4991,0.0,top
U2,52.1239,44.230767,0.0,top
U3,44.6739,59.1741,0.0,top
U4,67.5639,55.9741,180.0,top
U5,58.48,68.316004,270.0,top
U6,19.228774,49.254099,0.0,top
U7,70.6864,71.1541,90.0,top
U8,19.3639,25.424037,0.0,top
U9,72.1639,23.5741,90.0,top
Y1,54.0639,29.9741,0.0,top
