"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SC8,SC2,SC1,SC12,SC11,SC9,SC7,SC6,SC5,SC4,SC3,SC10";"SM101K07TF";12;"SM101K07TF";;;
2;"D14,D6,D4,D2,D3,D11,D5,D1,D8,D13,D9,D12,D10,D7";"DO-214AC";14;"CDBA240LL";;;
3;"J2,J1";"Molex_205338-0006";2;"2053380006";;;
4;"AE1";"AP.25M";1;"AP.25M";;;
5;"J3";"Molex_205338-0005";1;"2053380005";;;
6;"SC1-6 +,GND,SC7-12 +";"TestPoint_Pad_D2.5mm";3;"TestPoint";;;
